name,description,price,category
Gaming Laptop Pro 15,15-inch RTX 4060 gaming beast,1399.99,electronics
Asus ROG Strix G16,16-inch 165 Hz display laptop,1499.49,electronics
MSI Bravo 17,17-inch AMD RX 6600M power-house,1199,electronics
Lenovo Legion 5,RTX 3070 + Ryzen 7 combo,1299.89,electronics
HP Omen 16,144 Hz panel with RGB keyboard,1249.99,electronics
Acer Nitro 5,Budget GTX 1650 gaming rig,799.99,electronics
Dell G15 5520,12-gen i7 + RTX 3060,999.99,electronics
Alienware M15 R7,Premium build RTX 3080 Ti,2199.99,electronics
Razer Blade 14,Ultra-portable RTX 4070,1899.99,electronics
Gigabyte Aorus 15,Intel 13th-gen + RTX 4080,2399.99,electronics
